Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine Description,Manufacturer,Manufacturer URL,Category,Fuel Code,Fuel,Fuel Configuration Name,Electric-Only Range,PHEV Total Range,PHEV Type,Notes,Drivetrain
12795,45,9,377,29,Q5 S line quattro,2022,"","","",23.0,28.0,25.0,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12796,45,9,377,29,Q5 Sportback S line quattro,2022,"","","",23.0,28.0,25.0,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12832,57,"",377,27,Q5 TFSI e quattro,2022,"","",61.0,25.0,27.0,26.0,Auto,SI,2.0L,4,"2.0L I4;
105 kW electric motor",Audi,http://progress.audiusa.com/,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,"",23,390,Blended,"",AWD
12797,45,9,377,29,Q7 quattro,2022,"","","",18.0,23.0,20.0,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12798,45,9,377,29,Q8 quattro,2022,"","","",18.0,23.0,20.0,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12799,45,9,377,27,RS 6 Avant,2022,"","","",15.0,22.0,17.0,Auto,SI,4.0L,8,4.0L V8,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12800,45,9,377,27,RS7,2022,"","","",15.0,22.0,17.0,Auto,SI,4.0L,8,4.0L V8,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12956,41,"",377,29,RS e-tron GT,2022,100.0,89.0,95.0,"","","",Auto,e-motor,335 kW electric motor,"","335 kW electric motor;
723 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,"",241,"","","",AWD
12801,45,9,377,27,RS Q8,2022,"","","",13.0,19.0,15.0,Auto,SI,4.0L,8,4.0L V8,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12792,45,9,377,27,S6,2022,"","","",18.0,28.0,22.0,Auto,SI,2.9L,6,2.9L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12793,45,9,377,27,S7,2022,"","","",18.0,28.0,22.0,Auto,SI,2.9L,6,2.9L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12977,45,9,377,27,S8,2022,"","","",14.0,23.0,17.0,Auto,SI,4.0L,8,4.0L V8,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
13090,57,9,355,27,Flying Spur Hybrid,2022,"","",46.0,17.0,22.0,19.0,Auto,SI,2.9L,6,"2.9L V6;
103 kW electric motor",Bentley Motors,http://www.bentleymotors.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,21,430,Blended,"",""
13067,57,9,211,27,330e Sedan,2022,"","",75.0,25.0,33.0,28.0,Auto,SI,2.0L,4,"2.0L I4;
80 kW electric motor",BMW,www.bmwusa.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,23,320,Blended,"",RWD
13068,57,9,211,27,330e xDrive,2022,"","",67.0,22.0,30.0,25.0,Auto,SI,2.0L,4,"2.0L I4;
80 kW electric motor",BMW,www.bmwusa.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,20,290,Blended,"",AWD
13069,57,9,211,27,530e Sedan,2022,"","",64.0,24.0,29.0,26.0,Auto,SI,2.0L,4,"2.0L I4;
80 kW electric motor",BMW,www.bmwusa.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,21,340,Blended,"",RWD
13070,57,9,211,27,530e xDrive Sedan,2022,"","",62.0,22.0,28.0,25.0,Auto,SI,2.0L,4,"2.0L I4;
80 kW electric motor",BMW,www.bmwusa.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,19,320,Blended,"",AWD
12859,45,9,211,27,540i Sedan,2022,"","","",25.0,32.0,27.0,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",RWD
12805,45,9,211,27,540i xDrive Sedan,2022,"","","",22.0,29.0,25.0,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
13071,57,9,211,27,745e xDrive,2022,"","",56.0,19.0,26.0,22.0,Auto,SI,3.0L,6,"3.0L V6;
83 kW electric motor",BMW,www.bmwusa.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,17,290,Blended,"",AWD
13047,41,1,211,27,"i4 eDrive40 Gran Coupe (18"" Wheels) ",2022,109.0,108.0,109.0,"","","",Auto,e-motor,250 kW electric motor,"","250 kW electric motor;
211 Ah battery",BMW,www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,301,"","","",RWD
13046,41,1,211,27,"i4 eDrive40 Gran Coupe (19"" Wheels) ",2022,100.0,98.0,99.0,"","","",Auto,e-motor,250 kW electric motor,"","250 kW electric motor;
211 Ah battery",BMW,www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,282,"","","",RWD
13048,41,1,211,27,"i4 M50 Gran Coupe (19"" Wheels) ",2022,94.0,98.0,96.0,"","","",Auto,e-motor,190 and 230 kW electric motors,"","190 and 230 kW electric motors;
211 Ah battery",BMW,www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,270,"","","",AWD
13049,41,1,211,27,"i4 M50 Gran Coupe (20"" Wheels) ",2022,79.0,80.0,80.0,"","","",Auto,e-motor,190 and 230 kW electric motors,"","190 and 230 kW electric motors;
211 Ah battery",BMW,www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,227,"","","",AWD
13050,41,1,211,29,"iX xDrive50 (20"" Wheels) ",2022,86.0,87.0,86.0,"","","",Auto,e-motor,190 and 230 kW electric motors,"","190 and 230 kW electric motors;
303 Ah battery",BMW,www.bmwusa.com,SUV,ELEC,Electric,Dedicated,324,"","","",AWD
13051,41,1,211,29,"iX xDrive50 (21"" Wheels) ",2022,82.0,84.0,83.0,"","","",Auto,e-motor,190 and 230 kW electric motors,"","190 and 230 kW electric motors;
303 Ah battery",BMW,www.bmwusa.com,SUV,ELEC,Electric,Dedicated,305,"","","",AWD
13052,41,1,211,29,"iX xDrive50 (22"" Wheels) ",2022,86.0,85.0,86.0,"","","",Auto,e-motor,190 and 230 kW electric motors,"","190 and 230 kW electric motors;
303 Ah battery",BMW,www.bmwusa.com,SUV,ELEC,Electric,Dedicated,315,"","","",AWD
12855,45,9,211,27,M340i Sedan,2022,"","","",23.0,32.0,26.0,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",RWD
12856,45,9,211,27,M340i xDrive Sedan,2022,"","","",23.0,32.0,26.0,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12804,45,9,211,27,M440i Convertible,2022,"","","",23.0,31.0,26.0,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12802,45,9,211,27,M440i Coupe,2022,"","","",25.0,34.0,28.0,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",RWD
12857,45,9,211,27,M440i xDrive Convertible,2022,"","","",23.0,31.0,26.0,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12858,45,9,211,27,M440i xDrive Coupe,2022,"","","",23.0,32.0,26.0,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12803,45,9,211,27,M440i xDrive Gran Coupe,2022,"","","",22.0,29.0,25.0,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",RWD
12860,45,9,211,29,X3 M40i,2022,"","","",21.0,26.0,23.0,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12861,45,9,211,29,X4 M40i,2022,"","","",21.0,26.0,23.0,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12862,45,9,211,29,X5 sDrive40i,2022,"","","",21.0,26.0,23.0,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,"","","","",RWD
12863,45,9,211,29,X5 xDrive40i,2022,"","","",21.0,25.0,23.0,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
13072,57,9,211,29,X5 xDrive45e,2022,"","",50.0,19.0,22.0,20.0,Auto,SI,3.0L,6,"3.0L I6;
83 kW electric motor",BMW,www.bmwusa.com,SUV,PHEV,Plug-in Hybrid Electric,Hybrid Electric,31,400,Blended,"",AWD
12864,45,9,211,29,X6 xDrive40i,2022,"","","",21.0,25.0,23.0,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12865,45,9,211,29,X7 xDrive40i,2022,"","","",19.0,24.0,21.0,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12907,35,1,231,29,Escalade 2WD,2022,"","","",21.0,27.0,23.0,Auto,CI,3.0L,6,3.0L V6,Cadillac,http://www.cadillac.com,SUV,BD,Biodiesel (B20),Dedicated,"","","","",RWD
12908,35,1,231,29,Escalade 4WD,2022,"","","",20.0,26.0,22.0,Auto,CI,3.0L,6,3.0L V6,Cadillac,http://www.cadillac.com,SUV,BD,Biodiesel (B20),Dedicated,"","","","",4WD
12778,41,1,215,27,Bolt EUV,2022,125.0,104.0,115.0,"","","","",e-motor,150 kW electric motor,"","150 kW electric motor;
189 Ah battery",Chevrolet,http://www.chevrolet.com,Sedan/Wagon,ELEC,Electric,Dedicated,247,"","","",FWD
12777,41,1,215,27,Bolt EV,2022,131.0,109.0,120.0,"","","","",e-motor,150 kW electric motor,"","150 kW electric motor;
189 Ah battery",Chevrolet,http://www.chevrolet.com,Sedan/Wagon,ELEC,Electric,Dedicated,259,"","","",FWD
12849,35,1,215,25,Colorado 2WD,2022,"","","",20.0,30.0,23.0,Auto,CI,2.8L,4,2.8L I4,Chevrolet,http://www.chevrolet.com,Pickup,BD,Biodiesel (B20),Dedicated,"","","","",RWD
12850,35,1,215,25,Colorado 4WD,2022,"","","",19.0,28.0,22.0,Auto,CI,2.8L,4,2.8L I4,Chevrolet,http://www.chevrolet.com,Pickup,BD,Biodiesel (B20),Dedicated,"","","","",4WD
12851,35,1,215,25,Colorado ZR2 4WD,2022,"","","",18.0,22.0,19.0,Auto,CI,2.8L,4,2.8L I4,Chevrolet,http://www.chevrolet.com,Pickup,BD,Biodiesel (B20),Dedicated,"","","","",4WD
12923,11,5,215,25,Silverado 2WD,2022,11.0,15.0,12.0,15.0,19.0,16.0,Auto,SI,5.3L,8,5.3L V8,Chevrolet,http://www.chevrolet.com,Pickup,E85_GSLN,Ethanol (E85),Flexible Fuel,"","","","",RWD
12909,35,1,215,25,Silverado 2WD,2022,"","","",23.0,31.0,26.0,Auto,CI,3.0L,6,3.0L V6,Chevrolet,http://www.chevrolet.com,Pickup,BD,Biodiesel (B20),Dedicated,"","","","",RWD
13074,35,1,215,25,Silverado 4WD,2022,"","","",22.0,26.0,23.0,Auto,CI,3.0L,6,3.0L V6,Chevrolet,http://www.chevrolet.com,Pickup,BD,Biodiesel (B20),Dedicated,"","","",Transmission with Sport Mode.,4WD
12910,35,1,215,25,Silverado 4WD,2022,"","","",22.0,26.0,24.0,Auto,CI,3.0L,6,3.0L V6,Chevrolet,http://www.chevrolet.com,Pickup,BD,Biodiesel (B20),Dedicated,"","","","",4WD
12924,11,5,215,25,Silverado 4WD,2022,11.0,13.0,12.0,14.0,16.0,15.0,Auto,SI,5.3L,8,5.3L V8,Chevrolet,http://www.chevrolet.com,Pickup,E85_GSLN,Ethanol (E85),Flexible Fuel,"","","","",4WD
12997,11,5,215,25,Silverado 4WD - Mud Terrain Tires,2022,10.0,12.0,11.0,14.0,16.0,15.0,Auto,SI,5.3L,8,5.3L V8,Chevrolet,http://www.chevrolet.com,Pickup,E85_GSLN,Ethanol (E85),Flexible Fuel,"","","","",4WD
12918,35,1,215,25,Silverado 4WD - Mud Terrain Tires,2022,"","","",20.0,23.0,21.0,Auto,CI,3.0L,6,3.0L I6,Chevrolet,http://www.chevrolet.com,Pickup,BD,Biodiesel (B20),Dedicated,"","","","",4WD
12911,35,1,215,29,Suburban 2WD,2022,"","","",21.0,27.0,23.0,Auto,CI,3.0L,6,3.0L V6,Chevrolet,http://www.chevrolet.com,SUV,BD,Biodiesel (B20),Dedicated,"","","","",RWD
12912,35,1,215,29,Suburban 4WD,2022,"","","",20.0,26.0,22.0,Auto,CI,3.0L,6,3.0L V6,Chevrolet,http://www.chevrolet.com,SUV,BD,Biodiesel (B20),Dedicated,"","","","",4WD
12913,35,1,215,29,Tahoe 2WD,2022,"","","",21.0,28.0,24.0,Auto,CI,3.0L,6,3.0L V6,Chevrolet,http://www.chevrolet.com,SUV,BD,Biodiesel (B20),Dedicated,"","","","",RWD
12914,35,1,215,29,Tahoe 4WD,2022,"","","",20.0,26.0,22.0,Auto,CI,3.0L,6,3.0L V6,Chevrolet,http://www.chevrolet.com,SUV,BD,Biodiesel (B20),Dedicated,"","","","",4WD
13035,57,9,223,9,Pacifica Hybrid,2022,"","",82.0,29.0,30.0,30.0,Auto,SI,3.6L,6,"3.6L V6;
89 kW electric motor",Chrysler,http://www.chrysler.com,Van,PHEV,Plug-in Hybrid Electric,Hybrid Electric,32,520,Blended,"",FWD
13089,57,9,409,27,SF90 Spyder,2022,"","",44.0,16.0,19.0,17.0,Auto,SI,3.9L,8,"3.9L V8;
99kW, 99kW, and 150kW electric motors",Ferrari,http://www.ferrari.com/en_us/,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,8,320,Blended,"",AWD
13036,57,9,409,27,SF90 Stradale ,2022,"","",51.0,16.0,20.0,18.0,Auto,SI,3.9L,8,"3.9L V8;
99kW, 99kW, and 150kW electric motors",Ferrari,http://www.ferrari.com/en_us/,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,9,330,Blended,"",AWD
12982,45,9,219,27,Escape AWD HEV,2022,"","","",43.0,37.0,40.0,Auto,SI,2.5L I4,4,2.5L I4,Ford,https://www.ford.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12981,45,9,219,27,Escape FWD HEV,2022,"","","",44.0,37.0,41.0,Auto,SI,2.5L I4,4,2.5L I4,Ford,https://www.ford.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",FWD
13037,57,9,219,29,Escape FWD PHEV,2022,"","",105.0,43.0,38.0,41.0,Auto,SI,2.5L,4,"2.5L I4;
96 kW electric motor",Ford,https://www.ford.com,SUV,PHEV,Plug-in Hybrid Electric,Hybrid Electric,37,520,Blended,"",FWD
12976,11,5,219,29,Explorer AWD FFV,2022,11.0,15.0,13.0,16.0,24.0,19.0,Auto,SI,3.3L,6,3.3L V6,Ford,https://www.ford.com,SUV,E85_GSLN,Ethanol (E85),Flexible Fuel,"","","","",AWD
12980,45,9,219,29,Explorer HEV AWD,2022,"","","",23.0,26.0,25.0,Auto,SI,3.3L V6,6,3.3L V6,Ford,https://www.ford.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12978,45,9,219,29,Explorer HEV RWD,2022,"","","",27.0,28.0,27.0,Auto,SI,3.3L V6,6,3.3L V6,Ford,https://www.ford.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,"","","","",RWD
13024,45,9,219,29,Explorer Platinum HEV ,2022,"","","",23.0,24.0,23.0,Auto,SI,3.3L V6,6,3.3L V6,Ford,https://www.ford.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,"","","","",Part-Time 4WD
12979,45,9,219,29,Explorer Platinum HEV ,2022,"","","",25.0,25.0,26.0,Auto,SI,3.3L V6,6,3.3L V6,Ford,https://www.ford.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,"","","","",RWD
12975,11,5,219,25,F-150 2WD FFV,2022,14.0,18.0,16.0,19.0,24.0,21.0,Auto,SI,3.3L,6,3.3L V6,Ford,https://www.ford.com,Pickup,E85_GSLN,Ethanol (E85),Flexible Fuel,"","","","",RWD
12999,11,5,219,25,F-150 2WD FFV - Without Start/Stop,2022,12.0,18.0,14.0,17.0,24.0,19.0,Auto,SI,5.0L,8,5.0L V8,Ford,https://www.ford.com,Pickup,E85_GSLN,Ethanol (E85),Flexible Fuel,"","","","",RWD
12974,11,5,219,25,F-150 2WD FFV - With Start/Stop,2022,11.0,18.0,14.0,17.0,24.0,20.0,Auto,SI,5.0L,8,5.0L V8,Ford,https://www.ford.com,Pickup,E85_GSLN,Ethanol (E85),Flexible Fuel,"","","","",RWD
12973,11,5,219,25,F-150 4WD FFV,2022,14.0,18.0,15.0,19.0,22.0,20.0,Auto,SI,3.3L,6,3.3L V6,Ford,https://www.ford.com,Pickup,E85_GSLN,Ethanol (E85),Flexible Fuel,"","","","",4WD
12972,11,5,219,25,F-150 4WD FFV - Without Start/Stop,2022,12.0,17.0,14.0,16.0,22.0,18.0,Auto,SI,5.0L,8,5.0L V8,Ford,https://www.ford.com,Pickup,E85_GSLN,Ethanol (E85),Flexible Fuel,"","","","",4WD
13000,11,5,219,25,F-150 4WD FFV - With Start/Stop,2022,11.0,17.0,13.0,16.0,22.0,19.0,Auto,SI,5.0L,8,5.0L V8,Ford,https://www.ford.com,Pickup,E85_GSLN,Ethanol (E85),Flexible Fuel,"","","","",4WD
13093,41,1,219,25,F150 Lightning 4WD,2022,76.0,61.0,68.0,"","","",Auto,e-motor,358 kW electric motors (x2),"","358 kW electric motors (X2);
328 Ah battery",Ford,https://www.ford.com,Pickup,ELEC,Electric,Dedicated,230,"","","",AWD
13094,41,1,219,25,F150 Lightning 4WD Extended Range,2022,78.0,63.0,70.0,"","","",Auto,e-motor,210 kW electric motors (x2),"","210 kW electric motors (X2);
410 Ah battery",Ford,https://www.ford.com,Pickup,ELEC,Electric,Dedicated,320,"","","",AWD
13095,41,1,219,25,F150 Lightning Platinum 4WD,2022,73.0,60.0,66.0,"","","",Auto,e-motor,210 kW electric motors (x2),"","210 kW electric motors (X2);
410 Ah battery",Ford,https://www.ford.com,Pickup,ELEC,Electric,Dedicated,300,"","","",AWD
13025,45,9,219,25,F150 Pickup 2WD HEV,2022,"","","",25.0,25.0,25.0,Auto,SI,3.5L V6,6,3.5L V6,Ford,https://www.ford.com,Pickup,HYBR,Hybrid Electric,Hybrid Electric,"","","","",RWD
13026,45,9,219,25,F150 Pickup 4WD HEV,2022,"","","",23.0,23.0,23.0,Auto,SI,3.5L V6,6,3.5L V6,Ford,https://www.ford.com,Pickup,HYBR,Hybrid Electric,Hybrid Electric,"","","","",4WD
13066,45,9,219,25,Maverick Pickup HEV,2022,"","","",42.0,33.0,37.0,Auto,SI,2.5L V6,4,2.5L I4,Ford,https://www.ford.com,Pickup,HYBR,Hybrid Electric,Hybrid Electric,"","","","",FWD
13059,41,1,219,29,Mustang Mach-E AWD,2022,98.0,86.0,93.0,"","","",Auto,e-motor,198 kW electric motors (x2),"","198 kW electric motors (x2);
216 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,224,"","","",AWD
