Category,Model,Model Year,Manufacturer,Fuel,All-Electric Range,PHEV Total Range,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Transmission Make,Engine Type,Engine Size,Engine Cylinder Count,Number of Passengers,Heavy-Duty Power System,Notes,Drivetrain
Sedan/Wagon,A8L quattro,2022,Audi,Hybrid Electric,,,,,,19.0,28.0,22.0,Auto,,SI,3.0L,6,,,"",AWD
Sedan/Wagon,e-tron GT,2022,Audi,Electric,238,,81.0,83.0,82.0,,,,Auto,,e-motor,175 kW electric motor,,,,"",AWD
SUV,e-tron quattro,2022,Audi,Electric,222,,78.0,77.0,78.0,,,,Auto,,e-motor,141 kW and 172 kW electric motor,,,,"",AWD
SUV,"e-tron S (20"" wheels)",2022,Audi,Electric,208,,72.0,75.0,73.0,,,,Auto,,e-motor,138kW electric motor,,,,"",AWD
SUV,"e-tron S (21"" or 22"" wheels)",2022,Audi,Electric,181,,62.0,64.0,63.0,,,,Auto,,e-motor,138kW electric motor,,,,"",AWD
SUV,e-tron Sportback quattro,2022,Audi,Electric,218,,76.0,78.0,77.0,,,,Auto,,e-motor,141 kW and 172 kW electric motor,,,,"",AWD
SUV,"e-tron S Sportback (20"" wheels)",2022,Audi,Electric,212,,73.0,78.0,75.0,,,,Auto,,e-motor,138kW electric motor,,,,"",AWD
SUV,"e-tron S Sportback (21"" or 22"" wheels)",2022,Audi,Electric,185,,64.0,66.0,65.0,,,,Auto,,e-motor,157kW electric motor,,,,"",AWD
SUV,Q4 e-tron quattro,2022,Audi,Electric,241,,100.0,89.0,95.0,,,,Auto,,e-motor,80 kW and 150 kW electric motor,,,,"",AWD
SUV,Q4 e-tron Sportback quattro,2022,Audi,Electric,241,,100.0,89.0,95.0,,,,Auto,,e-motor,80 kW and 150 kW electric motor,,,,"",AWD
SUV,Q5 quattro,2022,Audi,Hybrid Electric,,,,,,23.0,28.0,25.0,Auto,,SI,2.0L,4,,,"",AWD
SUV,Q5 S line quattro,2022,Audi,Hybrid Electric,,,,,,23.0,28.0,25.0,Auto,,SI,2.0L,4,,,"",AWD
SUV,Q5 Sportback S line quattro,2022,Audi,Hybrid Electric,,,,,,23.0,28.0,25.0,Auto,,SI,2.0L,4,,,"",AWD
Sedan/Wagon,Q5 TFSI e quattro,2022,Audi,Plug-in Hybrid Electric,23,390,,,61.0,25.0,27.0,26.0,Auto,,SI,2.0L,4,,,"",AWD
SUV,Q7 quattro,2022,Audi,Hybrid Electric,,,,,,18.0,23.0,20.0,Auto,,SI,3.0L,6,,,"",AWD
SUV,Q8 quattro,2022,Audi,Hybrid Electric,,,,,,18.0,23.0,20.0,Auto,,SI,3.0L,6,,,"",AWD
Sedan/Wagon,RS 6 Avant,2022,Audi,Hybrid Electric,,,,,,15.0,22.0,17.0,Auto,,SI,4.0L,8,,,"",AWD
Sedan/Wagon,RS7,2022,Audi,Hybrid Electric,,,,,,15.0,22.0,17.0,Auto,,SI,4.0L,8,,,"",AWD
SUV,RS e-tron GT,2022,Audi,Electric,241,,100.0,89.0,95.0,,,,Auto,,e-motor,335 kW electric motor,,,,"",AWD
Sedan/Wagon,RS Q8,2022,Audi,Hybrid Electric,,,,,,13.0,19.0,15.0,Auto,,SI,4.0L,8,,,"",AWD
Sedan/Wagon,S6,2022,Audi,Hybrid Electric,,,,,,18.0,28.0,22.0,Auto,,SI,2.9L,6,,,"",AWD
Sedan/Wagon,S7,2022,Audi,Hybrid Electric,,,,,,18.0,28.0,22.0,Auto,,SI,2.9L,6,,,"",AWD
Sedan/Wagon,S8,2022,Audi,Hybrid Electric,,,,,,14.0,23.0,17.0,Auto,,SI,4.0L,8,,,"",AWD
Sedan/Wagon,Flying Spur Hybrid,2022,Bentley Motors,Plug-in Hybrid Electric,21,430,,,46.0,17.0,22.0,19.0,Auto,,SI,2.9L,6,,,"",""
Sedan/Wagon,330e Sedan,2022,BMW,Plug-in Hybrid Electric,23,320,,,75.0,25.0,33.0,28.0,Auto,,SI,2.0L,4,,,"",RWD
Sedan/Wagon,330e xDrive,2022,BMW,Plug-in Hybrid Electric,20,290,,,67.0,22.0,30.0,25.0,Auto,,SI,2.0L,4,,,"",AWD
Sedan/Wagon,530e Sedan,2022,BMW,Plug-in Hybrid Electric,21,340,,,64.0,24.0,29.0,26.0,Auto,,SI,2.0L,4,,,"",RWD
Sedan/Wagon,530e xDrive Sedan,2022,BMW,Plug-in Hybrid Electric,19,320,,,62.0,22.0,28.0,25.0,Auto,,SI,2.0L,4,,,"",AWD
Sedan/Wagon,540i Sedan,2022,BMW,Hybrid Electric,,,,,,25.0,32.0,27.0,Auto,,SI,3.0L,6,,,"",RWD
Sedan/Wagon,540i xDrive Sedan,2022,BMW,Hybrid Electric,,,,,,22.0,29.0,25.0,Auto,,SI,3.0L,6,,,"",AWD
Sedan/Wagon,745e xDrive,2022,BMW,Plug-in Hybrid Electric,17,290,,,56.0,19.0,26.0,22.0,Auto,,SI,3.0L,6,,,"",AWD
Sedan/Wagon,"i4 eDrive40 Gran Coupe (18"" Wheels) ",2022,BMW,Electric,301,,109.0,108.0,109.0,,,,Auto,,e-motor,250 kW electric motor,,,,"",RWD
Sedan/Wagon,"i4 eDrive40 Gran Coupe (19"" Wheels) ",2022,BMW,Electric,282,,100.0,98.0,99.0,,,,Auto,,e-motor,250 kW electric motor,,,,"",RWD
Sedan/Wagon,"i4 M50 Gran Coupe (19"" Wheels) ",2022,BMW,Electric,270,,94.0,98.0,96.0,,,,Auto,,e-motor,190 and 230 kW electric motors,,,,"",AWD
Sedan/Wagon,"i4 M50 Gran Coupe (20"" Wheels) ",2022,BMW,Electric,227,,79.0,80.0,80.0,,,,Auto,,e-motor,190 and 230 kW electric motors,,,,"",AWD
SUV,"iX xDrive50 (20"" Wheels) ",2022,BMW,Electric,324,,86.0,87.0,86.0,,,,Auto,,e-motor,190 and 230 kW electric motors,,,,"",AWD
SUV,"iX xDrive50 (21"" Wheels) ",2022,BMW,Electric,305,,82.0,84.0,83.0,,,,Auto,,e-motor,190 and 230 kW electric motors,,,,"",AWD
SUV,"iX xDrive50 (22"" Wheels) ",2022,BMW,Electric,315,,86.0,85.0,86.0,,,,Auto,,e-motor,190 and 230 kW electric motors,,,,"",AWD
Sedan/Wagon,M340i Sedan,2022,BMW,Hybrid Electric,,,,,,23.0,32.0,26.0,Auto,,SI,3.0L,6,,,"",RWD
Sedan/Wagon,M340i xDrive Sedan,2022,BMW,Hybrid Electric,,,,,,23.0,32.0,26.0,Auto,,SI,3.0L,6,,,"",AWD
Sedan/Wagon,M440i Convertible,2022,BMW,Hybrid Electric,,,,,,23.0,31.0,26.0,Auto,,SI,3.0L,6,,,"",AWD
Sedan/Wagon,M440i Coupe,2022,BMW,Hybrid Electric,,,,,,25.0,34.0,28.0,Auto,,SI,3.0L,6,,,"",RWD
Sedan/Wagon,M440i xDrive Convertible,2022,BMW,Hybrid Electric,,,,,,23.0,31.0,26.0,Auto,,SI,3.0L,6,,,"",AWD
Sedan/Wagon,M440i xDrive Coupe,2022,BMW,Hybrid Electric,,,,,,23.0,32.0,26.0,Auto,,SI,3.0L,6,,,"",AWD
Sedan/Wagon,M440i xDrive Gran Coupe,2022,BMW,Hybrid Electric,,,,,,22.0,29.0,25.0,Auto,,SI,3.0L,6,,,"",RWD
SUV,X3 M40i,2022,BMW,Hybrid Electric,,,,,,21.0,26.0,23.0,Auto,,SI,3.0L,6,,,"",AWD
SUV,X4 M40i,2022,BMW,Hybrid Electric,,,,,,21.0,26.0,23.0,Auto,,SI,3.0L,6,,,"",AWD
SUV,X5 sDrive40i,2022,BMW,Hybrid Electric,,,,,,21.0,26.0,23.0,Auto,,SI,3.0L,6,,,"",RWD
SUV,X5 xDrive40i,2022,BMW,Hybrid Electric,,,,,,21.0,25.0,23.0,Auto,,SI,3.0L,6,,,"",AWD
SUV,X5 xDrive45e,2022,BMW,Plug-in Hybrid Electric,31,400,,,50.0,19.0,22.0,20.0,Auto,,SI,3.0L,6,,,"",AWD
SUV,X6 xDrive40i,2022,BMW,Hybrid Electric,,,,,,21.0,25.0,23.0,Auto,,SI,3.0L,6,,,"",AWD
SUV,X7 xDrive40i,2022,BMW,Hybrid Electric,,,,,,19.0,24.0,21.0,Auto,,SI,3.0L,6,,,"",AWD
SUV,Escalade 2WD,2022,Cadillac,Biodiesel (B20),,,,,,21.0,27.0,23.0,Auto,,CI,3.0L,6,,,"",RWD
SUV,Escalade 4WD,2022,Cadillac,Biodiesel (B20),,,,,,20.0,26.0,22.0,Auto,,CI,3.0L,6,,,"",4WD
Sedan/Wagon,Bolt EUV,2022,Chevrolet,Electric,247,,125.0,104.0,115.0,,,,"",,e-motor,150 kW electric motor,,,,"",FWD
Sedan/Wagon,Bolt EV,2022,Chevrolet,Electric,259,,131.0,109.0,120.0,,,,"",,e-motor,150 kW electric motor,,,,"",FWD
Pickup,Colorado 2WD,2022,Chevrolet,Biodiesel (B20),,,,,,20.0,30.0,23.0,Auto,,CI,2.8L,4,,,"",RWD
Pickup,Colorado 4WD,2022,Chevrolet,Biodiesel (B20),,,,,,19.0,28.0,22.0,Auto,,CI,2.8L,4,,,"",4WD
Pickup,Colorado ZR2 4WD,2022,Chevrolet,Biodiesel (B20),,,,,,18.0,22.0,19.0,Auto,,CI,2.8L,4,,,"",4WD
Pickup,Silverado 2WD,2022,Chevrolet,Ethanol (E85),,,11.0,15.0,12.0,15.0,19.0,16.0,Auto,,SI,5.3L,8,,,"",RWD
Pickup,Silverado 2WD,2022,Chevrolet,Biodiesel (B20),,,,,,23.0,31.0,26.0,Auto,,CI,3.0L,6,,,"",RWD
Pickup,Silverado 4WD,2022,Chevrolet,Ethanol (E85),,,11.0,13.0,12.0,14.0,16.0,15.0,Auto,,SI,5.3L,8,,,"",4WD
Pickup,Silverado 4WD,2022,Chevrolet,Biodiesel (B20),,,,,,22.0,26.0,23.0,Auto,,CI,3.0L,6,,,Transmission with Sport Mode.,4WD
Pickup,Silverado 4WD,2022,Chevrolet,Biodiesel (B20),,,,,,22.0,26.0,24.0,Auto,,CI,3.0L,6,,,"",4WD
Pickup,Silverado 4WD - Mud Terrain Tires,2022,Chevrolet,Biodiesel (B20),,,,,,20.0,23.0,21.0,Auto,,CI,3.0L,6,,,"",4WD
Pickup,Silverado 4WD - Mud Terrain Tires,2022,Chevrolet,Ethanol (E85),,,10.0,12.0,11.0,14.0,16.0,15.0,Auto,,SI,5.3L,8,,,"",4WD
SUV,Suburban 2WD,2022,Chevrolet,Biodiesel (B20),,,,,,21.0,27.0,23.0,Auto,,CI,3.0L,6,,,"",RWD
SUV,Suburban 4WD,2022,Chevrolet,Biodiesel (B20),,,,,,20.0,26.0,22.0,Auto,,CI,3.0L,6,,,"",4WD
SUV,Tahoe 2WD,2022,Chevrolet,Biodiesel (B20),,,,,,21.0,28.0,24.0,Auto,,CI,3.0L,6,,,"",RWD
SUV,Tahoe 4WD,2022,Chevrolet,Biodiesel (B20),,,,,,20.0,26.0,22.0,Auto,,CI,3.0L,6,,,"",4WD
Van,Pacifica Hybrid,2022,Chrysler,Plug-in Hybrid Electric,32,520,,,82.0,29.0,30.0,30.0,Auto,,SI,3.6L,6,,,"",FWD
Sedan/Wagon,SF90 Spyder,2022,Ferrari,Plug-in Hybrid Electric,8,320,,,44.0,16.0,19.0,17.0,Auto,,SI,3.9L,8,,,"",AWD
Sedan/Wagon,SF90 Stradale ,2022,Ferrari,Plug-in Hybrid Electric,9,330,,,51.0,16.0,20.0,18.0,Auto,,SI,3.9L,8,,,"",AWD
Sedan/Wagon,Escape AWD HEV,2022,Ford,Hybrid Electric,,,,,,43.0,37.0,40.0,Auto,,SI,2.5L I4,4,,,"",AWD
Sedan/Wagon,Escape FWD HEV,2022,Ford,Hybrid Electric,,,,,,44.0,37.0,41.0,Auto,,SI,2.5L I4,4,,,"",FWD
SUV,Escape FWD PHEV,2022,Ford,Plug-in Hybrid Electric,37,520,,,105.0,43.0,38.0,41.0,Auto,,SI,2.5L,4,,,"",FWD
SUV,Explorer AWD FFV,2022,Ford,Ethanol (E85),,,11.0,15.0,13.0,16.0,24.0,19.0,Auto,,SI,3.3L,6,,,"",AWD
SUV,Explorer HEV AWD,2022,Ford,Hybrid Electric,,,,,,23.0,26.0,25.0,Auto,,SI,3.3L V6,6,,,"",AWD
SUV,Explorer HEV RWD,2022,Ford,Hybrid Electric,,,,,,27.0,28.0,27.0,Auto,,SI,3.3L V6,6,,,"",RWD
SUV,Explorer Platinum HEV ,2022,Ford,Hybrid Electric,,,,,,23.0,24.0,23.0,Auto,,SI,3.3L V6,6,,,"",Part-Time 4WD
SUV,Explorer Platinum HEV ,2022,Ford,Hybrid Electric,,,,,,25.0,25.0,26.0,Auto,,SI,3.3L V6,6,,,"",RWD
Pickup,F-150 2WD FFV,2022,Ford,Ethanol (E85),,,14.0,18.0,16.0,19.0,24.0,21.0,Auto,,SI,3.3L,6,,,"",RWD
Pickup,F-150 2WD FFV - Without Start/Stop,2022,Ford,Ethanol (E85),,,12.0,18.0,14.0,17.0,24.0,19.0,Auto,,SI,5.0L,8,,,"",RWD
Pickup,F-150 2WD FFV - With Start/Stop,2022,Ford,Ethanol (E85),,,11.0,18.0,14.0,17.0,24.0,20.0,Auto,,SI,5.0L,8,,,"",RWD
Pickup,F-150 4WD FFV,2022,Ford,Ethanol (E85),,,14.0,18.0,15.0,19.0,22.0,20.0,Auto,,SI,3.3L,6,,,"",4WD
Pickup,F-150 4WD FFV - Without Start/Stop,2022,Ford,Ethanol (E85),,,12.0,17.0,14.0,16.0,22.0,18.0,Auto,,SI,5.0L,8,,,"",4WD
Pickup,F-150 4WD FFV - With Start/Stop,2022,Ford,Ethanol (E85),,,11.0,17.0,13.0,16.0,22.0,19.0,Auto,,SI,5.0L,8,,,"",4WD
Pickup,F150 Lightning 4WD,2022,Ford,Electric,230,,76.0,61.0,68.0,,,,Auto,,e-motor,358 kW electric motors (x2),,,,"",AWD
Pickup,F150 Lightning 4WD Extended Range,2022,Ford,Electric,320,,78.0,63.0,70.0,,,,Auto,,e-motor,210 kW electric motors (x2),,,,"",AWD
Pickup,F150 Lightning Platinum 4WD,2022,Ford,Electric,300,,73.0,60.0,66.0,,,,Auto,,e-motor,210 kW electric motors (x2),,,,"",AWD
Pickup,F150 Pickup 2WD HEV,2022,Ford,Hybrid Electric,,,,,,25.0,25.0,25.0,Auto,,SI,3.5L V6,6,,,"",RWD
Pickup,F150 Pickup 4WD HEV,2022,Ford,Hybrid Electric,,,,,,23.0,23.0,23.0,Auto,,SI,3.5L V6,6,,,"",4WD
Pickup,Maverick Pickup HEV,2022,Ford,Hybrid Electric,,,,,,42.0,33.0,37.0,Auto,,SI,2.5L V6,4,,,"",FWD
SUV,Mustang Mach-E AWD,2022,Ford,Electric,224,,98.0,86.0,93.0,,,,Auto,,e-motor,198 kW electric motors (x2),,,,"",AWD
SUV,Mustang Mach-E AWD California Route 1,2022,Ford,Electric,312,,105.0,91.0,98.0,,,,Auto,,e-motor,258 kW electric motors (x2),,,,"",AWD
SUV,Mustang Mach-E AWD Extended,2022,Ford,Electric,277,,97.0,84.0,91.0,,,,Auto,,e-motor,258 kW electric motors (x2),,,,"",AWD
SUV,Mustang Mach-E GT AWD,2022,Ford,Electric,270,,90.0,77.0,84.0,,,,Auto,,e-motor,179  kW electric motors (X2),,,,"",AWD
SUV,Mustang Mach-E GT Performance,2022,Ford,Electric,260,,88.0,75.0,82.0,,,,Auto,,e-motor,179  kW electric motor,,,,"",AWD
SUV,Mustang Mach-E RWD,2022,Ford,Electric,247,,110.0,96.0,103.0,,,,Auto,,e-motor,198 kW electric motor,,,,"",RWD
SUV,Mustang Mach-E RWD California Route 1,2022,Ford,Electric,314,,108.0,94.0,101.0,,,,Auto,,e-motor,216 kW electric motor,,,,"",RWD
SUV,Mustang Mach-E RWD Extended,2022,Ford,Electric,303,,104.0,90.0,97.0,,,,Auto,,e-motor,216 kW electric motor,,,,"",RWD
Van,Transit Connect Van FFV,2022,Ford,Ethanol (E85),,,18.0,20.0,19.0,24.0,27.0,25.0,Auto,,SI,2.0L,4,,,This vehicle is only available in certain states. See dealer for details.,FWD
Passenger Van/Shuttle Bus,Transit Connect Wagon LWB FFV,2022,Ford,Ethanol (E85),,,16.0,21.0,18.0,24.0,28.0,26.0,Auto,,SI,2.0L,4,,,This vehicle is only available in certain states. See dealer for details.,FWD
Van,Transit T150 Passenger Van 2WD FFV,2022,Ford,Ethanol (E85),,,11.0,15.0,12.0,15.0,19.0,17.0,Auto,,SI,3.5L,,,,"",RWD
Van,Transit T150 Passenger Van 4WD FFV,2022,Ford,Ethanol (E85),,,11.0,14.0,12.0,14.0,18.0,16.0,Auto,,SI,3.5L,,,,"",4WD
Pickup,Canyon 2WD,2022,GMC,Biodiesel (B20),,,,,,20.0,30.0,23.0,Auto,,CI,2.8L,4,,,"",RWD
Pickup,Canyon 4WD,2022,GMC,Biodiesel (B20),,,,,,19.0,28.0,22.0,Auto,,CI,2.8L,4,,,"",4WD
Pickup,Sierra 2WD,2022,GMC,Ethanol (E85),,,11.0,15.0,12.0,15.0,19.0,16.0,Auto,,SI,5.3L,8,,,"",RWD
Pickup,Sierra 2WD,2022,GMC,Biodiesel (B20),,,,,,23.0,30.0,26.0,Auto,,CI,3.0L,6,,,"",RWD
Pickup,Sierra 4WD,2022,GMC,Ethanol (E85),,,11.0,13.0,12.0,14.0,18.0,16.0,Auto,,SI,5.3L,8,,,"",4WD
Pickup,Sierra 4WD,2022,GMC,Biodiesel (B20),,,,,,22.0,26.0,24.0,Auto,,CI,3.0L,6,,,"",4WD
Pickup,Sierra 4WD - Mud Terrain Tires,2022,GMC,Biodiesel (B20),,,,,,20.0,23.0,21.0,Auto,,CI,3.0L,6,,,"",4WD
Pickup,Sierra 4WD - Mud Terrain Tires,2022,GMC,Ethanol (E85),,,11.0,13.0,12.0,14.0,16.0,15.0,Auto,,SI,5.3L,8,,,"",4WD
SUV,Yukon 2WD,2022,GMC,Biodiesel (B20),,,,,,21.0,27.0,23.0,Auto,,CI,3.0L,6,,,"",RWD
SUV,Yukon 4WD,2022,GMC,Biodiesel (B20),,,,,,20.0,26.0,22.0,Auto,,CI,3.0L,6,,,"",4WD
SUV,Yukon XL 2WD,2022,GMC,Biodiesel (B20),,,,,,21.0,27.0,23.0,Auto,,CI,3.0L,6,,,"",RWD
SUV,Yukon XL 4WD,2022,GMC,Biodiesel (B20),,,,,,20.0,26.0,22.0,Auto,,CI,3.0L,6,,,"",4WD
Sedan/Wagon,Accord,2022,Honda,Hybrid Electric,,,,,,48.0,47.0,47.0,Auto,,SI,2.0L,4,,,"",FWD
Sedan/Wagon,Accord Sport/Touring,2022,Honda,Hybrid Electric,,,,,,44.0,41.0,43.0,Auto,,SI,2.0L,4,,,"",FWD
SUV,CR-V AWD,2022,Honda,Hybrid Electric,,,,,,40.0,35.0,38.0,Auto,,SI,2.0L,4,,,"",AWD
Sedan/Wagon,Insight,2022,Honda,Hybrid Electric,,,,,,55.0,49.0,52.0,Auto,,SI,1.5L,4,,,"",FWD
Sedan/Wagon,Insight Touring,2022,Honda,Hybrid Electric,,,,,,51.0,45.0,48.0,Auto,,SI,1.5L,4,,,"",FWD
Sedan/Wagon,Elantra Hybrid,2022,Hyundai,Hybrid Electric,,,,,,49.0,52.0,50.0,Auto,,SI,1.6L,4,,,"",FWD
Sedan/Wagon,Elantra Hybrid Blue,2022,Hyundai,Hybrid Electric,,,,,,53.0,56.0,54.0,Auto,,SI,1.6L,4,,,"",FWD
Sedan/Wagon,Ioniq,2022,Hyundai,Hybrid Electric,,,,,,54.0,57.0,55.0,Auto,,SI,1.6L,4,,,"",FWD
SUV,Ioniq 5 AWD (Long Range),2022,Hyundai,Electric,256,,110.0,87.0,98.0,,,,Auto,,e-motor,74 kW and 165 kW electric motors,,,,"",AWD
SUV,Ioniq 5 RWD,2022,Hyundai,Electric,220,,127.0,94.0,110.0,,,,Auto,,e-motor,125 kW electric motor,,,,"",RWD
SUV,Ioniq 5 RWD (Long Range),2022,Hyundai,Electric,303,,132.0,98.0,114.0,,,,Auto,,e-motor,168 kW electric motor,,,,"",RWD
Sedan/Wagon,Ioniq Blue,2022,Hyundai,Hybrid Electric,,,,,,58.0,60.0,59.0,Auto,,SI,1.6L,4,,,"",FWD
Sedan/Wagon,Ioniq Plug-in Hybrid,2022,Hyundai,Plug-in Hybrid Electric,29,620,,,119.0,52.0,51.0,52.0,Auto,,SI,1.6L,4,,,"",FWD
SUV,Kona Electric,2022,Hyundai,Electric,258,,132.0,108.0,120.0,,,,Auto,,e-motor,150 kW electric motor,,,,"",FWD
SUV,Nexo,2022,Hyundai,Hydrogen Fuel Cell,,,59.0,54.0,57.0,,,,Auto,,FC,120 kW electric motor,,,,"",FWD
SUV,Nexo Blue,2022,Hyundai,Hydrogen Fuel Cell,,,65.0,58.0,61.0,,,,Auto,,FC,120 kW electric motor,,,,"",FWD
Sedan/Wagon,Santa Fe Hybrid,2022,Hyundai,Hybrid Electric,,,,,,33.0,30.0,32.0,Auto,,SI,1.6L,4,,,"",4WD
Sedan/Wagon,Santa Fe Hybrid Blue,2022,Hyundai,Hybrid Electric,,,,,,36.0,31.0,34.0,Auto,,SI,1.6L,4,,,"",4WD
Sedan/Wagon,Santa Fe Plug-in Hybrid,2022,Hyundai,Plug-in Hybrid Electric,31,440,,,76.0,33.0,32.0,33.0,Auto,,SI,1.6L,4,,,"",AWD
Sedan/Wagon,Sonata Hybrid,2022,Hyundai,Hybrid Electric,,,,,,45.0,51.0,47.0,Auto,,SI,2.0L,4,,,"",FWD
Sedan/Wagon,Sonata Hybrid Blue,2022,Hyundai,Hybrid Electric,,,,,,50.0,54.0,52.0,Auto,,SI,2.0L,4,,,"",FWD
Sedan/Wagon,Tucson Hybrid,2022,Hyundai,Hybrid Electric,,,,,,37.0,36.0,37.0,Auto,,SI,1.6L,4,,,"",4WD
Sedan/Wagon,Tucson Hybrid Blue,2022,Hyundai,Hybrid Electric,,,,,,38.0,38.0,38.0,Auto,,SI,1.6L,4,,,"",4WD
SUV,Tucson Plug-in Hybrid,2022,Hyundai,Plug-in Hybrid Electric,33,420,,,80.0,35.0,35.0,35.0,Auto,,SI,1.6L,4,,,"",AWD
SUV,E-PACE MHEV,2022,Jaguar,Hybrid Electric,,,,,,21.0,26.0,23.0,Auto,,SI,2.0L,4,,,"",AWD
SUV,F-PACE P340 MHEV,2022,Jaguar,Hybrid Electric,,,,,,20.0,27.0,22.0,Auto,,SI,3.0L,6,,,"",4WD
SUV,F-PACE P400 MHEV,2022,Jaguar,Hybrid Electric,,,,,,19.0,26.0,22.0,Auto,,SI,3.0L,6,,,"",4WD
SUV,Grand Cherokee 4xe,2022,Jeep,Plug-in Hybrid Electric,26,470,,,56.0,23.0,24.0,23.0,Auto,,SI,2.0L,4,,,"",4WD
SUV,Wagoneer 4x2,2022,Jeep,Hybrid Electric,,,,,,16.0,22.0,18.0,Auto,,SI,5.7L,8,,,"",RWD
SUV,Wagoneer 4x4,2022,Jeep,Hybrid Electric,,,,,,15.0,20.0,17.0,Auto,,SI,5.7L,8,,,"",4WD
SUV,Wrangler 2dr 4x4,2022,Jeep,Hybrid Electric,,,,,,20.0,24.0,21.0,Auto,,SI,3.6L,6,,,"",4WD
SUV,Wrangler 4dr 4x4,2022,Jeep,Hybrid Electric,,,,,,19.0,24.0,21.0,Auto,,SI,3.6L,6,,,"",4WD
SUV,Wrangler 4dr 4xe,2022,Jeep,Plug-in Hybrid Electric,22,370,,,49.0,20.0,20.0,20.0,Auto,,SI,2.0L,4,,,"",4WD
Sedan/Wagon,EV6 AWD (Long Range) ,2022,Kia,Electric,274,,116.0,94.0,105.0,,,,Auto,,e-motor,74 kW and 165 kW electric motors,,,,"",AWD
Sedan/Wagon,EV6 RWD,2022,Kia,Electric,232,,136.0,100.0,117.0,,,,Auto,,e-motor,125 kW electric motor,,,,"",RWD
Sedan/Wagon,EV6 RWD (Long Range) ,2022,Kia,Electric,310,,134.0,101.0,117.0,,,,Auto,,e-motor,168 kW electric motor,,,,"",RWD
Sedan/Wagon,Niro,2022,Kia,Hybrid Electric,,,,,,51.0,46.0,49.0,Auto,,SI,1.6L,4,,,"",FWD
Sedan/Wagon,Niro Electric,2022,Kia,Electric,239,,123.0,102.0,112.0,,,,Auto,,e-motor,150 kW electric motor,,,,"",FWD
Sedan/Wagon,Niro FE,2022,Kia,Hybrid Electric,,,,,,53.0,48.0,50.0,Auto,,SI,1.6L,4,,,"",FWD
Sedan/Wagon,Niro Plug-in Hybrid,2022,Kia,Plug-in Hybrid Electric,26,560,,,105.0,48.0,44.0,46.0,Auto,,SI,1.6L,4,,,"",FWD
Sedan/Wagon,Niro Touring,2022,Kia,Hybrid Electric,,,,,,46.0,40.0,43.0,Auto,,SI,1.6L,4,,,"",FWD
